update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
25,51200,974.8703511296382,9,0.8078285704056422,0.14953976568649469,0.2980000078678131,0.9567999839782715,53.38095238095238,41.53882428406579,12.0,195.0,1.6214208751916885,0.45940036326646805,-0.08337234240025282,0.017547645373269916,0.09926505091572196,0.8078285704056422,0.14953976568649469,0.2980000078678131,0.9567999839782715
26,53248,1082.5026532858742,11,0.8249395378800326,0.13359882481013327,0.3124000132083893,0.9675999879837036,48.627906976744185,37.11078527855947,9.0,191.0,1.5639290511608124,0.5276961103081703,-0.06097145285457373,0.013123628334142268,0.14849324353941024,0.8249395378800326,0.13359882481013327,0.3124000132083893,0.9675999879837036
27,55296,1030.7740094174342,13,0.8578305110587912,0.11437209922197161,0.24400000274181366,0.9639999866485596,39.49152542372882,31.77002791853147,10.0,210.0,1.4998972713947296,0.6060319691896439,-0.07546163070946932,0.012083382811397314,0.10637058792446877,0.8578305110587912,0.11437209922197161,0.24400000274181366,0.9639999866485596
28,57344,1072.8679730359622,15,0.8880676929767315,0.05728665120637978,0.6435999870300293,0.9639999866485596,31.092307692307692,15.912958509363058,10.0,99.0,1.4670492559671402,0.6814020797610283,-0.06336741568520665,0.007345902151428163,0.1233445344663113,0.8880676929767315,0.05728665120637978,0.6435999870300293,0.9639999866485596
29,59392,1068.9507865745727,17,0.9062265014073935,0.048543825743899746,0.7480000257492065,0.9747999906539917,26.048192771084338,13.484398494483171,7.0,70.0,1.3797594755887985,0.7543273568153381,-0.04823037190362811,0.004645845270715654,0.09126109507632674,0.9062265014073935,0.048543825743899746,0.7480000257492065,0.9747999906539917
30,61440,1080.790197271506,19,0.9152584203173605,0.035825864220404596,0.7911999821662903,0.9711999893188477,23.53932584269663,9.95163154121116,8.0,58.0,1.304674506187439,0.7867128178477287,-0.02286114078015089,0.0029817126342095435,0.07976128119672951,0.9152584203173605,0.035825864220404596,0.7911999821662903,0.9711999893188477
31,63488,1088.2513431264877,21,0.9203955015439665,0.03200630895397143,0.7983999848365784,0.9675999879837036,22.1123595505618,8.890644245873212,9.0,56.0,1.2644003629684448,0.8078159689903259,-0.006777316448278725,0.002083484854665585,0.05420218492564241,0.9203955015439665,0.03200630895397143,0.7983999848365784,0.9675999879837036
32,65536,1101.70460163328,23,0.9189171616477195,0.09801689398692896,0.0,0.9711999893188477,22.242424242424242,24.61259056509633,8.0,250.0,1.3064708709716797,0.8061225637793541,0.002595875004772097,0.004275720973964781,0.09453542191931293,0.9189171616477195,0.09801689398692896,0.0,0.9711999893188477
33,67584,1061.2001625291693,25,0.9209894682231702,0.0342935737401208,0.8091999888420105,0.9711999893188477,21.94736842105263,9.525995923679064,8.0,53.0,1.3355987071990967,0.8129892274737358,0.010729928442742676,0.0019314913370180875,0.05845123567215636,0.9209894682231702,0.0342935737401208,0.8091999888420105,0.9711999893188477
34,69632,1094.0615557597366,27,0.9267381380513772,0.028100445656912422,0.8163999915122986,0.9711999893188477,20.350515463917525,7.805682885008029,8.0,51.0,1.2843523174524307,0.8229032009840012,-0.005662762298015878,0.0014596733235521242,0.04220548671751052,0.9267381380513772,0.028100445656912422,0.8163999915122986,0.9711999893188477
