update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,615.7055417074512,3,0.04739583299669903,0.04644770419518604,0.0,0.1458333283662796,77.4375,2.3708845922988324,72.0,80.0,1.9029900878667831,0.05445508286356926,0.0010942208900814876,0.0009970376304409,0.014013482329093177,0.04739583299669903,0.04644770419518604,0.0,0.1458333283662796
2,4096,635.0614078745848,6,0.03365885433595395,0.046733319385301536,0.0,0.17083333432674408,77.5,2.9368350311176825,70.0,80.0,1.9107746183872223,0.038998541655018926,0.009872476482996717,0.0006214115655893693,0.00932424285676427,0.03365885433595395,0.046733319385301536,0.0,0.17083333432674408
3,6144,772.0703788404727,9,0.05099999935366213,0.06762878491755138,0.0,0.25,75.72,3.2926585003610684,70.0,80.0,1.914140172302723,0.035755114047788084,0.003504654674543417,0.0005304798469296657,0.014109875461668413,0.05099999935366213,0.06762878491755138,0.0,0.25
4,8192,772.8985158525932,11,0.048913045472505946,0.05785867375692633,0.0,0.24166667461395264,76.1304347826087,3.5053294557819776,67.0,80.0,1.9151120781898499,0.03742395155131817,0.0020613822125596926,0.0004463123968889704,0.007054569282914829,0.048913045472505946,0.05785867375692633,0.0,0.24166667461395264
5,10240,782.6462402035223,14,0.05592447902017739,0.06785862532083872,0.0,0.22291666269302368,76.3125,3.4680460997512705,68.0,80.0,1.9021050333976746,0.032561457017436624,-0.002736022404860705,0.0007534612996096257,0.011441615742655757,0.05592447902017739,0.06785862532083872,0.0,0.22291666269302368
6,12288,762.1913471546267,17,0.07461419946479576,0.07650882440238914,0.0,0.2708333432674408,73.29629629629629,4.062610133570989,62.0,80.0,1.8995503783226013,0.033988833776675165,-0.0021081958620925434,0.0007367601938312873,0.008883787381902873,0.07461419946479576,0.07650882440238914,0.0,0.2708333432674408
7,14336,767.6384911704815,19,0.08985507108635553,0.08408470835190571,0.0020833334419876337,0.2874999940395355,73.56521739130434,4.6422079356657875,59.0,80.0,1.8807815611362457,0.04064888786524534,-0.008343612687895074,0.0008254445856437087,0.008881306435956004,0.08985507108635553,0.08408470835190571,0.0020833334419876337,0.2874999940395355
8,16384,762.9816084503121,22,0.11388888934937616,0.10069971166927506,0.0,0.3645833432674408,72.96666666666667,4.778307464178317,62.0,80.0,1.8556658774614334,0.048857904970645905,-0.009890986846585292,0.0013422907468338963,0.0143437370057224,0.11388888934937616,0.10069971166927506,0.0,0.3645833432674408
9,18432,549.6916802602807,26,0.16100260391249321,0.0967968885538592,0.012500000186264515,0.40833333134651184,68.0,6.005206074732157,54.0,78.0,1.8014319241046906,0.06445554527454078,-0.014843847544398159,0.001466710600652732,0.01564636822360778,0.16100260391249321,0.0967968885538592,0.012500000186264515,0.40833333134651184
10,20480,729.2195128742605,29,0.18320707025740182,0.10112469604657907,0.008333333767950535,0.4375,65.78787878787878,5.503484162301329,51.0,78.0,1.781429298222065,0.07339503476396203,-0.016668605152517557,0.0019242393536842428,0.024881875614578594,0.18320707025740182,0.10112469604657907,0.008333333767950535,0.4375
11,22528,759.8754566143194,31,0.19437500052154064,0.09280410073634457,0.05000000447034836,0.4104166626930237,65.6,5.845796210383434,53.0,74.0,1.741468071937561,0.09530013566836715,-0.012735140393488109,0.00227699097013101,0.016038551749456308,0.19437500052154064,0.09280410073634457,0.05000000447034836,0.4104166626930237
12,24576,769.4782120450863,34,0.23573232413918682,0.11511197859474669,0.02083333395421505,0.4895833134651184,61.09090909090909,6.872711239359204,49.0,74.0,1.6527459844946861,0.11497043259441853,-0.01868896695668809,0.003666382675874047,0.04103957728323862,0.23573232413918682,0.11511197859474669,0.02083333395421505,0.4895833134651184
13,26624,738.7822790325371,37,0.2448232312771407,0.11989152972668737,0.01875000074505806,0.550000011920929,61.121212121212125,5.963309919619207,42.0,73.0,1.6912431120872498,0.11987581802532077,-0.01692880637710914,0.003094991043326445,0.023608645923469136,0.2448232312771407,0.11989152972668737,0.01875000074505806,0.550000011920929
14,28672,751.5377631353659,39,0.24769144082391584,0.10592744052872718,0.09583333134651184,0.6083333492279053,58.729729729729726,6.016412905650535,47.0,72.0,1.6426316425204277,0.1335029061883688,-0.014232647736207582,0.003974521881900728,0.02488385997511354,0.24769144082391584,0.10592744052872718,0.09583333134651184,0.6083333492279053
15,30720,784.875685983375,42,0.271283781760045,0.13190494358566604,0.02083333395421505,0.5479166507720947,57.054054054054056,6.194792695290029,42.0,72.0,1.6205485984683037,0.15533049311488867,-0.004927587833662983,0.004729490290628746,0.0331272079975146,0.271283781760045,0.13190494358566604,0.02083333395421505,0.5479166507720947
16,32768,769.7595457183301,45,0.28414351534512305,0.1314631864512316,0.02291666716337204,0.65625,55.666666666666664,5.456901847914967,44.0,68.0,1.609008751809597,0.1504725692793727,-0.005560443183640018,0.004731583336251788,0.02188737352957023,0.28414351534512305,0.1314631864512316,0.02291666716337204,0.65625
17,34816,780.7637429099022,47,0.29199560633615446,0.13160849778596173,0.02916666865348816,0.6354166269302368,55.8421052631579,6.507187587945283,41.0,70.0,1.5273547768592834,0.15022115968167782,-0.012849916034610942,0.004680113968788646,0.026744148424371162,0.29199560633615446,0.13160849778596173,0.02916666865348816,0.6354166269302368
18,36864,787.7416734199904,50,0.32576754002978925,0.1314095164173744,0.12083334475755692,0.65625,54.3421052631579,6.271389990263107,39.0,66.0,1.4951945841312408,0.17072235234081745,-0.013855085679097101,0.0060683488845825195,0.027303295245822375,0.32576754002978925,0.1314095164173744,0.12083334475755692,0.65625
19,38912,761.3832171070196,53,0.33183759909409744,0.13133089520961705,0.11875000596046448,0.6645832657814026,51.23076923076923,5.726508483210692,39.0,71.0,1.507279857993126,0.20003547426313162,0.0005122577613292378,0.006850361736724153,0.02886326026641301,0.33183759909409744,0.13133089520961705,0.11875000596046448,0.6645832657814026
20,40960,793.7035628598604,55,0.31906249597668646,0.11867006241702047,0.10625000298023224,0.6354166865348816,52.35,6.373970505109041,40.0,65.0,1.5454177036881447,0.20075856428593397,0.004355104123533238,0.00698691580328159,0.038212022977257155,0.31906249597668646,0.11867006241702047,0.10625000298023224,0.6354166865348816
21,43008,747.3472530646691,58,0.3265350835495873,0.13260205996574265,0.11041666567325592,0.6458333134651184,53.78947368421053,6.105036293425644,41.0,64.0,1.6095099821686745,0.21905207075178623,0.014934381444618339,0.006829917314462364,0.025759279027853643,0.3265350835495873,0.13260205996574265,0.11041666567325592,0.6458333134651184
22,45056,720.8792033913638,61,0.34050244947566705,0.13253358813467872,0.03750000149011612,0.7916666865348816,55.85294117647059,5.6731169611919094,45.0,67.0,1.5872066989541054,0.20968443248420954,0.005960102382232435,0.006968508969293907,0.040045976221009735,0.34050244947566705,0.13253358813467872,0.03750000149011612,0.7916666865348816
23,47104,664.1299589295504,64,0.2947635113991596,0.11922530091206465,0.03750000521540642,0.5145833492279053,56.67567567567568,5.661888015036479,48.0,69.0,1.5855016261339188,0.18792682234197855,0.010596489300951362,0.005792465701233596,0.026994690383241066,0.2947635113991596,0.11922530091206465,0.03750000521540642,0.5145833492279053
24,49152,681.580885501712,67,0.33005208019167187,0.1435845101182068,0.04375000298023224,0.6458333730697632,54.725,5.700822309105941,43.0,71.0,1.637278936803341,0.1923141898587346,0.0076532049279194325,0.00590595105313696,0.025079882598921376,0.33005208019167187,0.1435845101182068,0.04375000298023224,0.6458333730697632
25,51200,708.3644368987618,70,0.2802083318432172,0.11163882540373395,0.05833333730697632,0.5041666626930237,55.861111111111114,5.893276667232179,42.0,67.0,1.641884408891201,0.18664380814880133,0.012715019620372914,0.004880239983322099,0.025456294013856386,0.2802083318432172,0.11163882540373395,0.05833333730697632,0.5041666626930237
