update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,229.25930989379688,8,0.03216145852638874,0.04080468233806699,0.0,0.125,77.9375,2.3040385738958453,73.0,80.0,1.9364247471094131,-0.026846068212762475,-0.017141292453743517,0.00031537019640381914,0.00967780451655379,0.03216145852638874,0.04080468233806699,0.0,0.125
2,4096,444.37902767472946,13,0.04511718806315912,0.07164556227051815,0.0,0.32083335518836975,77.5,3.5619517121937516,65.0,80.0,1.9320603162050247,0.007017137861112133,-0.010671324911527336,0.0005454189304145984,0.015651868055663078,0.04511718806315912,0.07164556227051815,0.0,0.32083335518836975
3,6144,653.972941910925,16,0.06250000136523423,0.07746629064588671,0.0,0.25,76.22727272727273,3.8368052309395755,67.0,80.0,1.9303842633962631,0.014378835097886622,-0.010550998849794269,0.00047704921234981157,0.00701779797598062,0.06250000136523423,0.07746629064588671,0.0,0.25
4,8192,737.5988503330984,19,0.037339744525245175,0.03741498222291017,0.0,0.10833333432674408,76.42307692307692,2.4364709176479775,71.0,80.0,1.938944011926651,0.016860037459991872,-0.003480840241536498,0.0002308668445039075,0.003697640423297054,0.037339744525245175,0.03741498222291017,0.0,0.10833333432674408
5,10240,727.9221885083684,22,0.02805989619810134,0.033986058657705404,0.0,0.1145833283662796,78.21875,1.9642806412272154,72.0,80.0,1.9426619112491608,0.020145124522969127,0.0023780520568834618,0.00025470266700722277,0.00465764423161776,0.02805989619810134,0.033986058657705404,0.0,0.1145833283662796
6,12288,755.509840832478,24,0.0297101447864881,0.05351198998080623,0.0,0.1875,77.3913043478261,3.0034636589861816,71.0,80.0,1.9307483583688736,0.016945507028140128,0.0020565860395436175,0.00021774400920548942,0.003222048590748548,0.0297101447864881,0.05351198998080623,0.0,0.1875
7,14336,753.5335062233657,27,0.046750000268220904,0.056706726102594925,0.0,0.1875,76.92,3.09735370921695,70.0,80.0,1.9062567055225372,0.026349853025749326,-0.006195756082888693,0.0005288570100674406,0.007695842216885265,0.046750000268220904,0.056706726102594925,0.0,0.1875
8,16384,756.9020557757353,30,0.06145833369373577,0.05970985634750597,0.0,0.2708333432674408,75.15625,3.231769784112105,68.0,80.0,1.918944090604782,0.039028868079185486,0.0035515731433406472,0.0004676557655329816,0.0075651846541093925,0.06145833369373577,0.05970985634750597,0.0,0.2708333432674408
9,18432,765.649185606898,33,0.056666667740792036,0.057069646476469345,0.0,0.17291666567325592,75.84,3.1199999999999997,67.0,80.0,1.9160641729831696,0.027013023616746068,0.00034364328530500643,0.00036258695399737917,0.003670340012285264,0.056666667740792036,0.057069646476469345,0.0,0.17291666567325592
10,20480,772.5660334934659,35,0.05380434851648043,0.04103990651453405,0.0020833334419876337,0.1354166716337204,75.56521739130434,3.0762213828363003,66.0,80.0,1.9267899990081787,0.024883941980078816,-0.0015047032939037308,0.0002772815878415713,0.005610703596712268,0.05380434851648043,0.04103990651453405,0.0020833334419876337,0.1354166716337204
